model,q_length,seq_length,positions_scored,mean_score,mean_pll,total_score
base,10,78,78,-3.6695081042238935,-1.4911135341972113,-5438.2110104598105
merged,10,78,78,-3.803348587559443,-1.4798170916067483,-5636.562606763095
human,10,78,78,-3.7818392641118423,-1.4739193810293307,-5604.68578941375
rice_balanced,10,78,78,-3.686800586235648,-1.4915835302896225,-5463.83846880123
chlamydomonas_balanced,10,78,78,-3.794072754016239,-1.4830551182564635,-5622.815821452066
base,11,79,79,-3.7537776285051545,-1.4702518751632563,-5634.420220386237
merged,11,79,79,-3.8845396677700976,-1.4581490841375877,-5830.694041322917
human,11,79,79,-3.856395257784576,-1.4544317136176779,-5788.449281934649
rice_balanced,11,79,79,-3.761407929105929,-1.474679356417324,-5645.873301587999
chlamydomonas_balanced,11,79,79,-3.872431193729695,-1.464576291108999,-5812.519221788272
base,12,80,80,-3.8236357431907795,-1.4523660355247556,-5811.926329649985
merged,12,80,80,-3.957251502382324,-1.4409732044674457,-6015.022283621132
human,12,80,80,-3.9324914469726777,-1.4358063071966172,-5977.38699939847
rice_balanced,12,80,80,-3.8326873752214996,-1.4563283347990363,-5825.684810336679
chlamydomonas_balanced,12,80,80,-3.9486503370731185,-1.4451891928678378,-6001.94851235114
base,13,81,81,-3.899974975258093,-1.4345482347740068,-6002.0614869222045
merged,13,81,81,-4.027606835545242,-1.4247960985672694,-6198.486919904128
human,13,81,81,-4.006877563235395,-1.4197919251926152,-6166.584569819272
rice_balanced,13,81,81,-3.901478458418619,-1.4399021293186112,-6004.375347506255
chlamydomonas_balanced,13,81,81,-4.0167344950570385,-1.4306123846291023,-6181.754387892783
base,14,82,82,-3.974341466420346,-1.4211024483892976,-6192.0240046828985
merged,14,82,82,-4.100168612239277,-1.4086529354042396,-6388.062697868794
human,14,82,82,-4.081988958013035,-1.4040731521459615,-6359.738796584308
rice_balanced,14,82,82,-3.969072011544516,-1.4237296642145005,-6183.814193986356
chlamydomonas_balanced,14,82,82,-4.093668222199021,-1.4135880834854595,-6377.935090186074
base,15,83,83,-4.042987643120386,-1.4039615210908722,-6375.791513200849
merged,15,83,83,-4.170772745417515,-1.3914420263819307,-6577.308619523421
human,15,83,83,-4.152686099902731,-1.3861795621643584,-6548.7859795466065
rice_balanced,15,83,83,-4.0360605356294705,-1.406140516096928,-6364.867464687675
chlamydomonas_balanced,15,83,83,-4.162737754148183,-1.3962569610406477,-6564.637438291684
base,16,84,84,-4.115402058567525,-1.3877864928383912,-6568.18168547377
merged,16,84,84,-4.237022007320702,-1.3759821275958704,-6762.28712368384
human,16,84,84,-4.2218395040736985,-1.3740489308145785,-6738.055848501623
rice_balanced,16,84,84,-4.103756356637757,-1.3902466317328315,-6549.59514519386
chlamydomonas_balanced,16,84,84,-4.230925591497969,-1.3802402859243255,-6752.557244030759
base,17,85,85,-4.188548044271006,-1.3719538918531993,-6764.505091497675
merged,17,85,85,-4.308249686055185,-1.3605420108446304,-6957.823242979124
human,17,85,85,-4.293139589335712,-1.3573988571763038,-6933.4204367771745
rice_balanced,17,85,85,-4.17151435061528,-1.3732480494634194,-6736.995676243678
chlamydomonas_balanced,17,85,85,-4.302426181629808,-1.3634508319199086,-6948.418283332139
base,18,86,86,-4.265496022736533,-1.3558157777608655,-6969.820501151495
merged,18,86,86,-4.383148887454597,-1.3445403347398306,-7162.065282100812
human,18,86,86,-4.365319781151293,-1.3421523849978003,-7132.932522401214
rice_balanced,18,86,86,-4.2446665246931055,-1.3585432556696062,-6935.785101348534
chlamydomonas_balanced,18,86,86,-4.376057903414576,-1.3476890449217238,-7150.4786141794175
base,19,87,87,-4.332027994300798,-1.3423826809137547,-7160.8422745792195
merged,19,87,87,-4.449132577746575,-1.3296846157132551,-7354.416151015088
human,19,87,87,-4.435956903737257,-1.3264193595226468,-7332.636761877686
rice_balanced,19,87,87,-4.311371836541992,-1.3423064016876207,-7126.6976458039135
chlamydomonas_balanced,19,87,87,-4.448763572178213,-1.331233160259823,-7353.806184810586
base,20,88,88,-4.404092749576842,-1.3268155910773203,-7363.64307729248
merged,20,88,88,-4.51431245618482,-1.3139303323431788,-7547.930426741019
human,20,88,88,-4.503530469557057,-1.3105542841579088,-7529.9029450993985
rice_balanced,20,88,88,-4.380040544075736,-1.3293009200874208,-7323.42778969463
chlamydomonas_balanced,20,88,88,-4.518507199138002,-1.3192468277729033,-7554.944036958739
base,21,89,89,-4.475254144416577,-1.3138709134955922,-7567.654758208431
merged,21,89,89,-4.57779248344306,-1.3011070126562976,-7741.047089502215
human,21,89,89,-4.571105217243892,-1.2963885629151979,-7729.738922359422
rice_balanced,21,89,89,-4.4468383054358585,-1.3150235592816653,-7519.603574492037
chlamydomonas_balanced,21,89,89,-4.59961328802312,-1.303540555048692,-7777.946070047095
base,22,90,90,-4.541604365904036,-1.2987605372029873,-7766.143465695903
merged,22,90,90,-4.647901233719193,-1.2859303473184507,-7947.911109659821
human,22,90,90,-4.641319789454799,-1.2824412816618052,-7936.656839967705
rice_balanced,22,90,90,-4.514527643763335,-1.3014155104238954,-7719.842270835303
chlamydomonas_balanced,22,90,90,-4.66799883901561,-1.289250657138311,-7982.278014716692
base,23,91,91,-4.607796009271225,-1.286869207028668,-7966.879300029948
merged,23,91,91,-4.707070565660753,-1.273313611346696,-8138.525008027442
human,23,91,91,-4.70490321345539,-1.2668269203443612,-8134.777656064369
rice_balanced,23,91,91,-4.574829657167786,-1.2892454236766302,-7909.880477243103
chlamydomonas_balanced,23,91,91,-4.739966681509879,-1.2759541769174265,-8195.40239233058
base,24,92,92,-4.678952009195474,-1.272354352125979,-8178.80811207369
merged,24,92,92,-4.775341240439811,-1.2588369242604012,-8347.29648828879
human,24,92,92,-4.775382614656707,-1.2530900482189558,-8347.368810419925
rice_balanced,24,92,92,-4.639519760098513,-1.2727391577892653,-8109.880540652201
chlamydomonas_balanced,24,92,92,-4.812620270318241,-1.2612291344026427,-8412.460232516285
base,25,93,93,-4.746883407856028,-1.2613205353939725,-8387.7429816816
merged,25,93,93,-4.841861870050764,-1.245505373394217,-8555.569924379699
human,25,93,93,-4.846179246101328,-1.2385533149203947,-8563.198727861047
rice_balanced,25,93,93,-4.703144646768343,-1.2601595781843669,-8310.456590839662
chlamydomonas_balanced,25,93,93,-4.8856858752286305,-1.2479529881709686,-8633.00694152899
base,26,94,94,-4.817017771562818,-1.2476399855272091,-8603.193740011193
merged,26,94,94,-4.904729726906837,-1.2349890574733629,-8759.84729225561
human,26,94,94,-4.915138262974814,-1.2270182929734916,-8778.436937673017
rice_balanced,26,94,94,-4.768212707587054,-1.2463311274991709,-8516.027895750478
chlamydomonas_balanced,26,94,94,-4.9529307463870165,-1.236626323406644,-8845.934313047212
base,27,95,95,-4.88531671127516,-1.2356147929829986,-8817.996663851663
merged,27,95,95,-4.977533353327508,-1.2213278862794763,-8984.447702756152
human,27,95,95,-4.97745540984429,-1.216306866764238,-8984.307014768943
rice_balanced,27,95,95,-4.827459221772354,-1.237224113107904,-8713.5638952991
chlamydomonas_balanced,27,95,95,-5.02412668755536,-1.2231598328848026,-9068.548671037424
base,28,96,96,-4.948891052510844,-1.2258689161632599,-9026.77727977978
merged,28,96,96,-5.033145812259407,-1.212953540593541,-9180.457961561158
human,28,96,96,-5.03601228803771,-1.20491914638842,-9185.686413380783
rice_balanced,28,96,96,-4.884351429205772,-1.2249427065059233,-8909.057006871328
chlamydomonas_balanced,28,96,96,-5.086603448783934,-1.210703673044918,-9277.964690581895
base,29,97,97,-5.007891099603884,-1.2121464702463949,-9229.543296569958
merged,29,97,97,-5.093630875807713,-1.1993628291499598,-9387.561704113614
human,29,97,97,-5.094930213432389,-1.1945540860160877,-9389.956383355893
rice_balanced,29,97,97,-4.9438321829502625,-1.213227348512557,-9111.482713177335
