q_length,base,chlamydomonas_balanced,human,merged,rice_balanced
10,-1.4911135341972113,-1.4830551182564635,-1.4739193810293307,-1.4798170916067483,-1.4915835302896225
11,-1.4702518751632563,-1.464576291108999,-1.4544317136176779,-1.4581490841375877,-1.474679356417324
12,-1.4523660355247556,-1.4451891928678378,-1.4358063071966172,-1.4409732044674457,-1.4563283347990363
13,-1.4345482347740068,-1.4306123846291023,-1.4197919251926152,-1.4247960985672694,-1.4399021293186112
14,-1.4211024483892976,-1.4135880834854595,-1.4040731521459615,-1.4086529354042396,-1.4237296642145005
15,-1.4039615210908722,-1.3962569610406477,-1.3861795621643584,-1.3914420263819307,-1.406140516096928
16,-1.3877864928383912,-1.3802402859243255,-1.3740489308145785,-1.3759821275958704,-1.3902466317328315
17,-1.3719538918531993,-1.3634508319199086,-1.3573988571763038,-1.3605420108446304,-1.3732480494634194
18,-1.3558157777608655,-1.3476890449217238,-1.3421523849978003,-1.3445403347398306,-1.3585432556696062
19,-1.3423826809137547,-1.331233160259823,-1.3264193595226468,-1.3296846157132551,-1.3423064016876207
20,-1.3268155910773203,-1.3192468277729033,-1.3105542841579088,-1.3139303323431788,-1.3293009200874208
21,-1.3138709134955922,-1.303540555048692,-1.2963885629151979,-1.3011070126562976,-1.3150235592816653
22,-1.2987605372029873,-1.289250657138311,-1.2824412816618052,-1.2859303473184507,-1.3014155104238954
23,-1.286869207028668,-1.2759541769174265,-1.2668269203443612,-1.273313611346696,-1.2892454236766302
24,-1.272354352125979,-1.2612291344026427,-1.2530900482189558,-1.2588369242604012,-1.2727391577892653
25,-1.2613205353939725,-1.2479529881709686,-1.2385533149203947,-1.245505373394217,-1.2601595781843669
26,-1.2476399855272091,-1.236626323406644,-1.2270182929734916,-1.2349890574733629,-1.2463311274991709
27,-1.2356147929829986,-1.2231598328848026,-1.216306866764238,-1.2213278862794763,-1.237224113107904
28,-1.2258689161632599,-1.210703673044918,-1.20491914638842,-1.212953540593541,-1.2249427065059233
29,-1.2121464702463949,-1.1981859283675391,-1.1945540860160877,-1.1993628291499598,-1.213227348512557
30,-1.1973057082112954,-1.18466668526585,-1.1813704524027677,-1.188031497088318,-1.2000470837549668
31,-1.185264979084634,-1.172901402556836,-1.1661062265671036,-1.1741152246990665,-1.1871814092179065
32,-1.172595613002777,-1.1594782432774082,-1.1541616090014577,-1.1628084634570406,-1.1752240106463432
33,-1.1604892334642607,-1.1502066371814892,-1.144099887939963,-1.1516730715013523,-1.1659257135372425
34,-1.149436811154124,-1.1385875569711275,-1.1342622229701602,-1.1385194044742806,-1.1518179545151617
35,-1.1391317144000126,-1.1285393301677864,-1.121697030821363,-1.1277019839905635,-1.1421188924018546
36,-1.1276502017639218,-1.1181854982994712,-1.1114330697500219,-1.118452972047425,-1.1309397161597958
37,-1.1175751846682813,-1.1053543807495207,-1.1005836344811888,-1.107529990539132,-1.1195041512360886
38,-1.1077255781845383,-1.0961637972318128,-1.0913026924025409,-1.0972692781778157,-1.1074616044434666
