q_length,base,chlamydomonas_balanced,human,merged,rice_balanced
10,-3.6695081042238935,-3.794072754016239,-3.7818392641118423,-3.803348587559443,-3.686800586235648
11,-3.7537776285051545,-3.872431193729695,-3.856395257784576,-3.8845396677700976,-3.761407929105929
12,-3.8236357431907795,-3.9486503370731185,-3.9324914469726777,-3.957251502382324,-3.8326873752214996
13,-3.899974975258093,-4.0167344950570385,-4.006877563235395,-4.027606835545242,-3.901478458418619
14,-3.974341466420346,-4.093668222199021,-4.081988958013035,-4.100168612239277,-3.969072011544516
15,-4.042987643120386,-4.162737754148183,-4.152686099902731,-4.170772745417515,-4.0360605356294705
16,-4.115402058567525,-4.230925591497969,-4.2218395040736985,-4.237022007320702,-4.103756356637757
17,-4.188548044271006,-4.302426181629808,-4.293139589335712,-4.308249686055185,-4.17151435061528
18,-4.265496022736533,-4.376057903414576,-4.365319781151293,-4.383148887454597,-4.2446665246931055
19,-4.332027994300798,-4.448763572178213,-4.435956903737257,-4.449132577746575,-4.311371836541992
20,-4.404092749576842,-4.518507199138002,-4.503530469557057,-4.51431245618482,-4.380040544075736
21,-4.475254144416577,-4.59961328802312,-4.571105217243892,-4.57779248344306,-4.4468383054358585
22,-4.541604365904036,-4.66799883901561,-4.641319789454799,-4.647901233719193,-4.514527643763335
23,-4.607796009271225,-4.739966681509879,-4.70490321345539,-4.707070565660753,-4.574829657167786
24,-4.678952009195474,-4.812620270318241,-4.775382614656707,-4.775341240439811,-4.639519760098513
25,-4.746883407856028,-4.8856858752286305,-4.846179246101328,-4.841861870050764,-4.703144646768343
26,-4.817017771562818,-4.9529307463870165,-4.915138262974814,-4.904729726906837,-4.768212707587054
27,-4.88531671127516,-5.02412668755536,-4.97745540984429,-4.977533353327508,-4.827459221772354
28,-4.948891052510844,-5.086603448783934,-5.03601228803771,-5.033145812259407,-4.884351429205772
29,-5.007891099603884,-5.142925404053135,-5.094930213432389,-5.093630875807713,-4.9438321829502625
30,-5.073905846518169,-5.207618247095404,-5.1564611661436475,-5.152728448102748,-5.004030584036817
31,-5.132607484780002,-5.2648079011813085,-5.21615052070733,-5.211392282583325,-5.057703434766193
32,-5.189166893613966,-5.320210569263926,-5.266071974025353,-5.2665458574016135,-5.122753445004162
33,-5.252873015747498,-5.374413444844054,-5.326309991106507,-5.321321333787652,-5.183783372951726
34,-5.309632648046151,-5.432857570310976,-5.380931662231726,-5.380307421456327,-5.241619375191477
35,-5.3644564174178475,-5.487923733898385,-5.438010528591577,-5.429767355208385,-5.297879401547525
36,-5.422578122581569,-5.546351325675338,-5.494682342759974,-5.482651716153569,-5.355049360773964
37,-5.483110087706864,-5.607289694507319,-5.552957037929212,-5.542417076174263,-5.414285554560858
38,-5.535046520261899,-5.659643580587932,-5.605623469111124,-5.598768627040769,-5.4723402853607075
39,-5.589475006262959,-5.718371666319654,-5.662482074724256,-5.653021111245832,-5.52406718349611
